"concept_id","concept_synonym_name","language_concept_id"
40483827,"Inflammation of pancreas caused by alcohol (disorder)",4180186
40483827,"Inflammation of pancreas due to alcohol",4180186
40483827,"Alcoholic pancreatitis",4180186
40490446,"Autoimmune pancreatitis (disorder)",4180186
44790985,"History of acute pancreatitis (situation)",4180186
44791268,"History of chronic pancreatitis (situation)",4180186
44806251,"Biliary acute pancreatitis (disorder)",4180186
44809061,"Acute kidney injury stage 1 (disorder)",4180186
44809062,"Acute kidney injury stage 2 (disorder)",4180186
44809063,"Acute kidney injury stage 3 (disorder)",4180186
45757494,"Chronic pancreatitis due to chronic alcoholism (disorder)",4180186
46274136,"Acute pancreatitis due to common bile duct calculus (disorder)",4180186
